grade,max_subdivision,allow_dotted,allow_tuplet,allowed_tuplet_classes,allow_mixed_tuplet,allow_syncopation,allow_easy_compound,allow_compound,allow_mixed_compound
0.5,q,FALSE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE
1,e,TRUE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE
1.5,e,TRUE,FALSE,none,FALSE,FALSE,FALSE,FALSE,FALSE
2,s,TRUE,TRUE,simple,FALSE,FALSE,TRUE,FALSE,FALSE
2.5,s,TRUE,TRUE,simple,FALSE,TRUE,TRUE,FALSE,FALSE
3,s,TRUE,TRUE,"simple, even",FALSE,TRUE,TRUE,TRUE,FALSE
3.5,s,TRUE,TRUE,"simple, even",FALSE,TRUE,TRUE,TRUE,FALSE
4,s,TRUE,TRUE,"simple, even",TRUE,TRUE,TRUE,TRUE,TRUE
4.5,any,TRUE,TRUE,"simple,even,complex",TRUE,TRUE,TRUE,TRUE,TRUE
5,any,TRUE,TRUE,"simple,even,complex",TRUE,TRUE,TRUE,TRUE,TRUE
